,Codigo,Nombre,Unidad,CodigobyCodigo,TitlebyCodigo
3114,91-36200-HVG,TAPON AUDITIVO DESECHABLE SIN CORDON C/200,DIS,91-36200-HVG,TAPON AUDITIVO DESECHABLE SIN CORDON C/200
1995,91-38100-CBU,TAPON AUDITIVO DESECHABLE CON CORDON DETECTOR DE METAL C/100,DIS,91-38100-CBU,TAPON AUDITIVO DESECHABLE CON CORDON DETECTOR DE METAL C/100
326,91-37100-CO,TAPON AUDITIVO DESECHABLE CON CORDON C/100,DIS,91-37100-CO,TAPON AUDITIVO DESECHABLE CON CORDON C/100
424,FP71,TAPON AUDITIVO CON CORDON 32 DECIDIBLES C/100 RADIANS,DIS,FP71,TAPON AUDITIVO CON CORDON 32 DECIDIBLES C/100 RADIANS
2457,NTALI01,TAPETE PARA MINGITORIO,PZA,NTALI01,TAPETE PARA MINGITORIO
1105,BOTTOM0001C,TAPETE ANTIPARTICULAS BLANCO 24X36 4 PAQ CON 30 LAMINAS,CAJ,BOTTOM0001C,TAPETE ANTIPARTICULAS BLANCO 24X36 4 PAQ CON 30 LAMINAS
808,LZ06017,TAPETE ANTIPARTICULAS AZUL 24 X 36 C/10 PAQ DE 30 LAMINAS,CAJ,LZ06017,TAPETE ANTIPARTICULAS AZUL 24 X 36 C/10 PAQ DE 30 LAMINAS
6885,434004,TAPE VINIL PARA DELIMITAR AREA 72X33mAMARILLO,ROL,434004,TAPE VINIL PARA DELIMITAR AREA 72X33m AMARILLO
6886,434006,TAPE VINIL PARA DELIMITAR AREA 72X33M AMARILLO/NEGRO,ROL,434006,TAPE VINIL PARA DELIMITAR AREA 72X33M AMARILLO/NEGRO
2865,434044,TAPE VINIL PARA DELIMITAR AREA 48X33mROJO/BLANCO,ROL,434004,TAPE VINIL PARA DELIMITAR AREA 72X33m AMARILLO
4490,434021,TAPE VINIL PARA DELIMITAR AREA 48X33mNARANJA,ROL,434021,TAPE VINIL PARA DELIMITAR AREA 48X33m NARANJA
2687,434003,TAPE VINIL PARA DELIMITAR AREA 48X33mAMRILLO/NEGRO,ROL,434004,TAPE VINIL PARA DELIMITAR AREA 72X33m AMARILLO
2815,434001,TAPE VINIL PARA DELIMITAR AREA 48X33mAMARILLO,ROL,434041,TAPE VINIL PARA DELIMITAR AREA 48X33m NEGRO
944,434016,TAPE VINIL PARA DELIMITAR AREA 48X33m VERDE,ROL,434016,TAPE VINIL PARA DELIMITAR AREA 48X33m VERDE
946,434044,TAPE VINIL PARA DELIMITAR AREA 48X33m ROJO/BLANCO,ROL,434004,TAPE VINIL PARA DELIMITAR AREA 72X33m AMARILLO
570,434002,TAPE VINIL PARA DELIMITAR AREA 48X33m ROJO,ROL,434002,TAPE VINIL PARA DELIMITAR AREA 48X33m ROJO
1652,434041,TAPE VINIL PARA DELIMITAR AREA 48X33m NEGRO,ROL,434041,TAPE VINIL PARA DELIMITAR AREA 48X33m NEGRO
2178,434021,TAPE VINIL PARA DELIMITAR AREA 48X33m NARANJA,ROL,434021,TAPE VINIL PARA DELIMITAR AREA 48X33m NARANJA
7635,434045,TAPE VINIL PARA DELIMITAR AREA 48X33m BLANCO/VERDE,ROL,434045,TAPE VINIL PARA DELIMITAR AREA 48X33m BLANCO/VERDE
612,434032,TAPE VINIL PARA DELIMITAR AREA 48X33m BLANCO/NEGRO,ROL,434002,TAPE VINIL PARA DELIMITAR AREA 48X33m ROJO
945,434025,TAPE VINIL PARA DELIMITAR AREA 48X33m BLANCO,ROL,434025,TAPE VINIL PARA DELIMITAR AREA 48X33m BLANCO
491,434015,TAPE VINIL PARA DELIMITAR AREA 48X33m AZUL,ROL,434015,TAPE VINIL PARA DELIMITAR AREA 48X33m AZUL
362,434003,TAPE VINIL PARA DELIMITAR AREA 48X33m AMRILLO/NEGRO,ROL,434004,TAPE VINIL PARA DELIMITAR AREA 72X33m AMARILLO
159,434001,TAPE VINIL PARA DELIMITAR AREA 48X33m AMARILLO,ROL,434041,TAPE VINIL PARA DELIMITAR AREA 48X33m NEGRO
8043,434019,TAPE VINIL PARA DELIMITAR AREA 101mmX33mAZUL,ROL,19034,PINTURA AEROSOL BLANCO
3341,434007,TAPE VINIL PARA DELIMITAR AREA 101mmX33mAMARILLO,ROL,434007,TAPE VINIL PARA DELIMITAR AREA 101mmX33m AMARILLO
4023,231240,TAPE TRANSPARENTE 72MMX914M C/4 ROLLOS TUK,CAJ,434021,TAPE VINIL PARA DELIMITAR AREA 48X33m NARANJA
76,6100,TAPE TRANSPARENTE 72MMX100M C/24 ROLLOS MARCA INTERTAPE,CAJ,6100,TAPE TRANSPARENTE 72MMX100M C/24 ROLLOS MARCA INTERTAPE
2647,RIG-TT3,TAPE TRANSPARENTE 72MM X100 MC/24 ROLLOS,CAJ,RIG-TT3,TAPE TRANSPARENTE 72MM X100 M C/24 ROLLOS
46,RIG-TT3,TAPE TRANSPARENTE 72MM X100 M C/24 ROLLOS,CAJ,RIG-TT3,TAPE TRANSPARENTE 72MM X100 M C/24 ROLLOS
1968,258426,TAPE TRANSPARENTE 48X914M C/6 ROLLOS TUK,CAJ,258426,TAPE TRANSPARENTE 48X914M C/6 ROLLOS TUK
56,257821,TAPE TRANSPARENTE 48X100M C/36 ROLLOS,CAJ,257821,TAPE TRANSPARENTE 48X100M C/36 ROLLOS
2361,RIG-TT2-P,TAPE TRANSPARENTE 48X100 M,ROL,RIG-TT2,TAPE TRANSPARENTE 48MM X100M C/36 ROLLOS
4022,231225,TAPE TRANSPARENTE 48MMX914M C/6 ROLLOS TUK,CAJ,12355,CUBRENUCAS PARA CASCO CON REFLEJANTE
58,258438,TAPE TRANSPARENTE 48MMX100M C/36 ROLLOS,CAJ,258438,TAPE TRANSPARENTE 48MMX100M C/36 ROLLOS
45,RIG-TT2,TAPE TRANSPARENTE 48MM X100M C/36 ROLLOS,CAJ,RIG-TT2,TAPE TRANSPARENTE 48MM X100M C/36 ROLLOS
158,258440,TAPE TRANSPARENTE 3x110 YDS C/24 ROLLOS DURASEAL,CAJ,258440,TAPE TRANSPARENTE 3x110 YDS C/24 ROLLOS DURASEAL
8065,3C16WT14,TAPE TRANSPARENTE 3X110 YDS C/24 ROLLOS,CAJ,3C16WT14,TAPE TRANSPARENTE 3X110 YDS C/24 ROLLOS
7625,2CMACH18,TAPE TRANSPARENTE 2X100 C/36 ROLLOS,CAJ,2CMACH18,TAPE TRANSPARENTE 2X100 C/36 ROLLOS
1064,SUPER 33,TAPE NEGRO PARA AISLAR SUPER 33,ROL,SUPER 33,TAPE NEGRO PARA AISLAR SUPER 33
6230,12500,TAPE NEGRO PARA AISLAR 19mX18mm C/8,PAQ,12500,TAPE NEGRO PARA AISLAR 19mX18mm C/8
2062,345008,TAPE NEGRO PARA AISLAR 19mX18mm C/10 TUK,PAQ,45038,RAFIA COLOR BLANCO 3.8 g/m4.5 kg
37,658922,TAPE KRAFT REFORZADO 72mmX137M C/10 ROLLOS,CAJ,658922,TAPE KRAFT REFORZADO 72mmX137M C/10 ROLLOS
5373,R-TAL-AZ,TALONERAANTIESTATICAAZUL,PZA,R-TAL-AZ,TALONERA ANTIESTATICA AZUL
6942,TAL-20V,TALADRO/ATORNILLADOR DE 1/2 PULGADA 300WATTS INALAMBRICO,PZA,TAL-20V,TALADRO/ATORNILLADOR DE 1/2 PULGADA 300WATTS INALAMBRICO
5344,TPE-OFFI,TAEIPERA DE OFICINA,PZA,TPE-OFFI,TAEIPERA DE OFICINA
7176,20631,SUSPENSION PARA CASCO AJUSTE POR INTERVALOS PRETUL,PZA,20631,SUSPENSION PARA CASCO AJUSTE POR INTERVALOS PRETUL
1393,14236,SUSPENSION PARA CARETA CON MATRACA,PZA,14236,SUSPENSION PARA CARETA CON MATRACA
1208,GTA-SMC,SURTIDO DE GALLETAS CJA,CAJ,GTA-SMC,SURTIDO DE GALLETAS CJA
704,SF5801000W,STRETCH FILM 5 X 1000 CAL.80 C/12 ROLLOS,CAJ,SF5801000W,STRETCH FILM 5 X 1000 CAL.80 C/12 ROLLOS
2471,SF188010,STRETCH FILM 18X1000 CAL.80 C/4 ROLLOS,PAQ,SF18810,STRETCH FILM 18 80 1000
11725,SF18810,STRETCH FILM 18 80 1000,KG,SF18810,STRETCH FILM 18 80 1000
11110,SF105012,STRETCH FILM 10X1200 CAL.50,ROL,SF125015,STRETCH FILM 12X1500 CAL.50 C/4 ROLLOS
1561,SF185012-A,STRECH-FILM 18X1200 CAL 50 AMARILLO,PAQ,SF185012-A,STRECH-FILM 18X1200 CAL 50 AMARILLO
4147,1310-73-2,SOSA CAUSTICA CESTAL 25 KG,BOL,1310-73-2,SOSA CAUSTICA CESTAL 25 KG
7935,SAL9783,SOFA GRIS BRISTOL,PZA,SAL9783,SOFA GRIS BRISTOL
6940,SILL-OFFICE,SILLADE TRABAJO USO RUDO OFICINA,PZA,SILL-OFFICE,SILLA DE TRABAJO USO RUDO OFICINA
3456,SYL-GR,SILICON GRAD ALIMENTICIO AEROSOL 10 OZ,PZA,SYL-GR,SILICON GRAD ALIMENTICIO AEROSOL 10 OZ
3096,SPR945,SILICON EN SPRAY SPR 945,PZA,SPR945,SILICON EN SPRAY SPR 945
1306,LIM104,SERVILLETA TIPO RESTAURANT C/500 PIEZAS,PAQ,LIM104,SERVILLETA TIPO RESTAURANT C/500 PIEZAS
8489,7001340,SERVILLETA BLANCA 12 PAQ. CON 500 PIEZAS,CAJ,7001340,SERVILLETA BLANCA 12 PAQ. CON 500 PIEZAS
6603,LIM042,SENALAMIENTO PISO MOJADO,PZA,LIM042,SENALAMIENTO PISO MOJADO
6939,SEN-MON,SENALAMIENTO ANTIDERRAPANTE MONTACARGAS 20DE DIAMETRO,PZA,SEN-MON,SENALAMIENTO ANTIDERRAPANTE (MONTACARGAS) 20  DE DIAMETRO
2878,SELL-VERD,SELLO METALICO DE ALTA SEGURIDAD VERDE,PZA,SELL-VERD,SELLO METALICO DE ALTA SEGURIDAD VERDE
2371,SELL-AMA,SELLO METALICO DE ALTA SEGURIDAD AMARILLO,PZA,SELL-AMA,SELLO METALICO DE ALTA SEGURIDAD AMARILLO
9368,H36,SELLADORA PARA FLEJE POLIESTER 1/2 Y 5/8 YBICO,PZA,H36,SELLADORA PARA FLEJE POLIESTER 1/2 Y 5/8 YBICO
4398,C3126,SELLADORA PARA FLEJE METALICO 3/4 YBICO,PZA,C3126,SELLADORA PARA FLEJE METALICO 3/4 YBICO
11629,MIP-1100-12,SELLADORA PARA FLEJE METALICO 1/2,PZA,MIP-1200,TENSIONADORA PARA FLEJE METALICO
8004,C3005,SELLADORA PARA FLEJE DE POLIPROPILENO 1/2 TRANSPAK,PZA,C3005,SELLADORA PARA FLEJE DE POLIPROPILENO 1/2 TRANSPAK
440,LIM121,SANITIZANTE DESINFECTANTE 3.78 LTS,GAL,LIM121,SANITIZANTE DESINFECTANTE 3.78 LTS
431,LIM044,SANIASIENTOS C/5000,CAJ,LIM044,SANIASIENTOS C/5000
1428,BOTT-29,SANDALIAS ANTIESTATICAS TALLA 29,PZA,BOTT-29,SANDALIAS ANTIESTATICAS TALLA 29
1427,BOTT-28,SANDALIAS ANTIESTATICAS TALLA 28,PZA,BOTT-28,SANDALIAS ANTIESTATICAS TALLA 28
1426,BOTT-27,SANDALIAS ANTIESTATICAS TALLA 27,PAR,BOTT-27,SANDALIAS ANTIESTATICAS TALLA 27
1425,BOTT-26,SANDALIAS ANTIESTATICAS TALLA 26,PZA,BOTT-26,SANDALIAS ANTIESTATICAS TALLA 26
2228,BOTT-25,SANDALIAS ANTIESTATICAS TALLA 25,PZA,BOTT-25,SANDALIAS ANTIESTATICAS TALLA 25
1424,BOTT-24,SANDALIAS ANTIESTATICAS TALLA 24,PZA,BOTT-24,SANDALIAS ANTIESTATICAS TALLA 24
1423,BOTT-23,SANDALIAS ANTIESTATICAS TALLA 23,PZA,BOTT-23,SANDALIAS ANTIESTATICAS TALLA 23
3243,SAB-50,SABRITAS DE 50g,PZA,SAB-50,SABRITAS DE 50g
7910,CAJ-SAB,SABRITAS C/35 PZ,CAJ,CAJ-SAB,SABRITAS C/35 PZ
145,SAB230X183T,SABANA TRANSPARENTE ALTA DENSIDAD 230 X 183 CM CAL.120,PZA,SAB230X183T,SABANA TRANSPARENTE ALTA DENSIDAD 230 X 183 CM CAL.120
144,SAB213X178T,SABANA TRANSPARENTE ALTA DENSIDAD 213 X 178 CM CAL.120,PZA,SAB213X178T,SABANA TRANSPARENTE ALTA DENSIDAD 213 X 178 CM CAL.120
143,SAB175X158.5T,SABANA TRANSPARENTE ALTA DENSIDAD 175X158.5 CM CAL.120,PZA,SAB175X158.5T,SABANA TRANSPARENTE ALTA DENSIDAD 175X158.5 CM CAL.120
142,SAB134X134T,SABANA TRANSPARENTE ALTA DENSIDAD 134 X 134 CM CAL.120,PZA,SAB134X134T,SABANA TRANSPARENTE ALTA DENSIDAD 134 X 134 CM CAL.120
929,S16-T,SABANA DE 16TRANSPARENTE CAL.200,ROL,S16-T,SABANA DE 16  TRANSPARENTE CAL.200
246,S6,SABANA 6X30 MTS NEGRO CAL.400,ROL,S6,SABANA 6X30 MTS NEGRO CAL.400
7607,SAB183X210-A,SABANA 1830X210 CM AZUL ANTIESTATICO CAL.150,PZA,SAB183X210-A,SABANA 1830X210 CM AZUL ANTIESTATICO CAL.150
565,RF1/8X72X450C36P12,ROLLO DE FOAM 1/8X72X450' CORTADO A 36PUNTEADO A 12,ROL,RF1/8X72X450C36P12,ROLLO DE FOAM 1/8X72X450' CORTADO A 36  PUNTEADO A 12 
9396,RF1/8X48X450,ROLLO DE FOAM 1/8X48X450,ROL,RF1/8X48X450,ROLLO DE FOAM 1/8X48X450
8918,RF1/4X72X225C36P12,ROLLO DE FOAM 1/4X 72X 225 FT CORTE A 36 PUNTEADO A 12,ROL,RF1/8X72X450C36P12,ROLLO DE FOAM 1/8X72X450' CORTADO A 36  PUNTEADO A 12 
2769,RF0.5X72X600C36,ROLLO DE FOAM 0.5 MMX72 X600M CORTE A 36,ROL,RF0.5X72X600C36,ROLLO DE FOAM 0.5 MMX72 X600M CORTE A 36
3368,RF0.5X72X600,ROLLO DE FOAM 0.5 MMX72 X600M COMPLETO,ROL,RF0.5X72X600,ROLLO DE FOAM 0.5 MMX72 X600M COMPLETO
1391,12951,RODILLERAS LIGERAS,PAR,12951,RODILLERAS LIGERAS
10899,12952,RODILLERA PROFESIONAL REFORZADA,PAR,12951,RODILLERAS LIGERAS
2702,RB-40MM X 300MTS,RIBONCERA40mm X 300mts,PZA,RB-40MM X 300MTS,RIBON  CERA  40mm X 300mts 
11118,3M-9502+N95,RESPIRADOR DESECHABLE N95 C/50 PIEZAS,CAJ,3M-9502+N95,RESPIRADOR DESECHABLE N95 C/50 PIEZAS
3231,LIM097,REPUESTO PARA TRAPEADOR ANTIBACTERIAL VERDE,PZA,LIM097,REPUESTO PARA TRAPEADOR ANTIBACTERIAL VERDE
7175,14222,REPUESTO PARA PROTECTOR FACIAL,PZA,14222,REPUESTO PARA PROTECTOR FACIAL
8741,11820,REPUESTO PARA NAVAJA UN FILO C/100,CAJ,11820,REPUESTO PARA NAVAJA UN FILO C/100
113,11-921A,REPUESTO PARA NAVAJA 0.025 C/100,PAQ,11-921A,REPUESTO PARA NAVAJA 0.025 C/100
356,16979,REPUESTO PARA EXACTO REP-CUTEX PAQ/5 PIEZAS,PAQ,16979,REPUESTO PARA EXACTO REP-CUTEX PAQ/5 PIEZAS
3264,16962,REPUESTO PARA CUTTER DE 9mm C/10,PZA,16962,REPUESTO PARA CUTTER DE 9mm C/10
353,16965,REPUESTO PARA CUTTER DE 18mm C/10,PZA,16965,REPUESTO PARA CUTTER DE 18mm C/10
94,NAEDC07-L,REPUESTO PARA AROMATIZANTE WIESE 180 GRS,PZA,NAEDC07-L,REPUESTO PARA AROMATIZANTE WIESE 180 GRS
29,LIM073,REPUESTO P/TRAPEADOR AZUL,PZA,LIM073,REPUESTO P/TRAPEADOR AZUL
179,LIM069,REPUESTO P/ MOPA 90 CM BLANCO,PZA,LIM069,REPUESTO P/ MOPA 90 CM BLANCO
28,LIM066,REPUESTO P/ MOPA 90 CM AZUL,PZA,LIM066,REPUESTO P/ MOPA 90 CM AZUL
228,LIM068,REPUESTO P/ MOPA 60 CM BLANCO,PZA,LIM068,REPUESTO P/ MOPA 60 CM BLANCO
600,LIM065,REPUESTO P/ MOPA 60 CM AZUL,PZA,LIM065,REPUESTO P/ MOPA 60 CM AZUL
85,LIM067,REPUESTO P/ MOPA,PZA,LIM067,REPUESTO P/ MOPA
791,LIM04,REPUESTO AUTOMATICO GLADE 175GR,PZA,LIM044,SANIASIENTOS C/5000
223,LIM041,REFUERZO PARA CEPILLO,PZA,LIM104,SERVILLETA TIPO RESTAURANT C/500 PIEZAS
27,LIM040,RECOGEDOR DE LAMINA MEDIANO,PZA,LIM044,SANIASIENTOS C/5000
476,LIM090,RECOGEDOR DE LAMINA GRANDE,PZA,LIM090,RECOGEDOR DE LAMINA GRANDE
1138,45038,RAFIA COLOR BLANCO 3.8 g/m4.5 kg,PZA,45038,RAFIA COLOR BLANCO 3.8 g/m4.5 kg
900,44492,RAFIA 410MTS 900G CAL. 2.2,ROL,92244,TOALLA DE ROLLO CAFE MARLI C/6 PC 180 MTS
8356,51580,RACK PARA ALMACEN,PZA,18550,TIJERA PARA SASTRE INDUSTRIAL 8 
2398,VIS-02-M,PUNTERAS PARA ZAPATO AMARILLA,PAR,VIS-02-M,PUNTERAS PARA ZAPATO AMARILLA
1121,R-PUL-AZ,PULSERA ANTIESTATICA CON CAIMAN AZUL,PZA,R-PUL-AZ,PULSERA ANTIESTATICA CON CAIMAN AZUL
1556,RI-002,PROTECTOR FACIAL CON LENTE DE ARMAZON,PZA,RI-002,PROTECTOR FACIAL CON LENTE DE ARMAZON
5149,STX-SH-37,PORTA TIZA,PZA,STX-SH-37,PORTA TIZA
111,10-079,PORTA NAVAJA RETRACTABLE STANLEY 10-079,PZA,10-079,PORTA NAVAJA RETRACTABLE STANLEY 10-079
5260,PL-AV,PLUMERO MEDIANO,PZA,PL-AV,PLUMERO MEDIANO
26,LIM039,PLUMERO DE AVESTRUZ CHICO,PZA,LIM039,PLUMERO DE AVESTRUZ CHICO
6620,LIM137,PLUMERO DE AVESTRUZ 22,PZA,LIM137,PLUMERO DE AVESTRUZ 22
401,PT8L,PLATO TERMICO,PAQ,PT8L,PLATO TERMICO
6929,PIZ-CORCHO,PIZARRON DE CORCHO GRANDE,PZA,PIZ-CORCHO,PIZARRON DE CORCHO GRANDE
83,LIM038,PISTOLA PARA ATOMIZADOR REFORZADA,PZA,LIM038,PISTOLA PARA ATOMIZADOR REFORZADA
2729,LIM037,PISTOLA PARA ATOMIZADOR,PZA,LIM073,REPUESTO P/TRAPEADOR AZUL
5087,17953,PINZA PARA PROCESO MIG,PZA,17953,PINZA PARA PROCESO MIG
3380,17314,PINZA PARA ELECTRONICA5 DE CORTE,PZA,17314,PINZA PARA ELECTRONICA  5 DE CORTE
6943,UH-377,PINZA P/ANILLOS,PZA,UH-377,PINZA P/ANILLOS
6877,17423,PINZA DE PRESION MORDURA CURVA,PZA,17423,PINZA DE PRESION MORDURA CURVA
1192,19066,PINTURA EN AEROSOL ORO,PZA,19066,PINTURA EN AEROSOL ORO
10900,19031,PINTURA EN AEROSOL COLOR NEGRO,PZA,19031,PINTURA EN AEROSOL COLOR NEGRO
10934,PINA-BL,PINTURA DE ACEITE COLOR BLANCO G.4L,GAL,PINA-BL,PINTURA DE ACEITE COLOR BLANCO G.4L
10933,PINA-AM,PINTURA DE ACEITE COLOR AMARILLO G.4L,GAL,PINA-AM,PINTURA DE ACEITE COLOR AMARILLO G.4L
2152,19034,PINTURA AEROSOL BLANCO,PZA,19034,PINTURA AEROSOL BLANCO
1002,LIMPIN3-ONE,PINO ONE CLEANER 19 LITROS,BID,LIMPIN3-ONE,PINO ONE CLEANER 19 LITROS
239,LIMPIN1-ONE,PINO ONE CLEANER,GAL,LIMPIN1-ONE,PINO ONE CLEANER
2634,LIM035,PASTILLAAROMATIZANTE WIESE,PZA,LIM035,PASTILLA AROMATIZANTE WIESE
2354,NNOPA00,PASTILLA PARA TANQUE AZUL,PZA,NNOPA00,PASTILLA PARA TANQUE AZUL
469,LIM036,PASTILLA CON RED PARA MINGITORIO,PZA,LIM036,PASTILLA CON RED PARA MINGITORIO
176,LIM035,PASTILLA AROMATIZANTE WIESE,PZA,LIM035,PASTILLA AROMATIZANTE WIESE
1504,WC-NOZZLEGEL16,PASTA PARA SOLDAR KLEEN GREEN 16oz,PZA,WC-NOZZLEGEL16,PASTA PARA SOLDAR KLEEN GREEN 16oz
519,CAJ-OFFICE,PAPEL TAMANO CARTA,CAJ,CAJ-OFFICE,PAPEL TAMANO CARTA
11108,PP-EM,PAPEL PARA EMPAQUE TIPO PERIODICO 15X20 P/10KG,PAQ,PP-EM,PAPEL PARA EMPAQUE TIPO PERIODICO 15X20 P/10KG
7769,PAP-K50L,PAPEL KRAFT 36 x1200 50lbs.,ROL,PAP-K50L,PAPEL KRAFT 36 x1200 50lbs.
2675,PAP-36,PAPEL KRAFT 36 X900 FT 40 LBS,ROL,PAP-36,PAPEL KRAFT 36 X900 FT 40 LBS
10483,PK-50,PAPEL KRAFT 12X1200 30 LBS,ROL,PK-50,PAPEL KRAFT 12X1200 30 LBS
172,90531,PAPEL HIGIENICO JR. C/12 180 MARLIN,CAJ,90531,PAPEL HIGIENICO JR. C/12 180 MARLIN
338,HOR-4R,PAPEL HIGIENICO HORTENCIA C/4 ROLLOS,PAQ,HOR-4R,PAPEL HIGIENICO HORTENCIA C/4 ROLLOS
